iter	RMSE
0	18.50505539
1	18.11686825
2	17.74313446
3	17.3819213
4	17.03606177
5	16.70275338
6	16.3834543
7	16.07558003
8	15.77737345
9	15.48932251
10	15.21446175
11	14.95011649
12	14.69561806
13	14.45219239
14	14.21658147
15	13.99069819
16	13.76978517
17	13.56060105
18	13.36169251
19	13.16721271
20	12.98300829
21	12.8058904
22	12.63212114
23	12.4663856
24	12.30946281
25	12.16054763
26	12.01633639
27	11.88028816
28	11.74999071
29	11.62211967
30	11.49978014
31	11.3825039
32	11.27366011
33	11.16670631
34	11.06391557
35	10.96505398
36	10.87165602
37	10.78215472
38	10.69760547
39	10.61731594
40	10.53966556
41	10.4639923
42	10.39291782
43	10.3256148
44	10.26068469
45	10.19888766
46	10.1401533
47	10.08413051
48	10.0308464
49	9.979640052
50	9.9305592
51	9.884136195
52	9.839734507
53	9.798537352
54	9.758127592
55	9.718929325
56	9.681565231
57	9.645768057
58	9.612304417
59	9.580695494
60	9.550925551
61	9.522361288
62	9.494552338
63	9.468271162
64	9.442713693
65	9.418027191
66	9.395298078
67	9.372663314
68	9.35128565
69	9.331770092
70	9.312579668
71	9.29392682
72	9.276619004
73	9.260042009
74	9.243518534
75	9.228874555
76	9.214213026
77	9.200332808
78	9.18649482
79	9.172821714
80	9.161182134
81	9.149453325
82	9.137788514
83	9.127436906
84	9.117020379
85	9.107320887
86	9.098420982
87	9.089595081
88	9.080179043
89	9.072046272
90	9.06395774
91	9.056607077
92	9.049568617
93	9.041700809
94	9.034008431
95	9.027238485
96	9.021241425
97	9.01539162
98	9.009878733
99	9.00360804
100	8.998615669
101	8.993598675
102	8.988012134
103	8.983264409
104	8.978791314
105	8.974179591
106	8.970251799
107	8.965453057
108	8.961546135
109	8.95732323
110	8.953866013
111	8.950218908
112	8.946306945
113	8.943220703
114	8.939768827
115	8.936863894
116	8.93416387
117	8.931396911
118	8.92872104
119	8.925651595
120	8.923210912
121	8.920358963
122	8.917657699
123	8.915044591
124	8.912844129
125	8.910846808
126	8.908998019
127	8.906658306
128	8.904773626
129	8.902634996
130	8.90086381
131	8.899131152
132	8.89750825
133	8.895819714
134	8.894466363
135	8.892657802
136	8.891225267
137	8.889846287
138	8.888476716
139	8.887378993
140	8.885886571
141	8.884497148
142	8.883309573
143	8.882235503
144	8.881103078
145	8.879747624
146	8.878600193
147	8.87741131
148	8.876556009
149	8.875485646
150	8.874330572
151	8.873307191
152	8.872264998
153	8.871200417
154	8.870395052
155	8.869457074
156	8.868655104
157	8.867761529
158	8.867147284
159	8.86629715
160	8.865520656
161	8.864779581
162	8.864151593
163	8.863606826
164	8.862810122
165	8.862152996
166	8.861674048
167	8.860934998
168	8.860414189
169	8.859649597
170	8.85910154
171	8.858535114
172	8.857884514
173	8.857323897
174	8.856689423
175	8.856096431
176	8.855395817
177	8.854912198
178	8.854368629
179	8.854002059
180	8.853518842
181	8.853162078
182	8.852608768
183	8.852112749
184	8.851695827
185	8.85132147
186	8.85072279
187	8.85026385
188	8.849710407
189	8.849269289
190	8.848824746
191	8.848557164
192	8.848144464
193	8.847750152
194	8.847414539
195	8.846991379
196	8.846638606
197	8.8462894
198	8.845948652
199	8.845499885
200	8.845134958
201	8.844832758
202	8.844495977
203	8.844086015
204	8.84377993
205	8.843559436
206	8.843138916
207	8.842668128
208	8.842403201
209	8.8421337
210	8.841825577
211	8.841507198
212	8.841143475
213	8.840729519
214	8.840351978
215	8.840173571
216	8.839956351
217	8.839586987
218	8.839514199
219	8.839187626
220	8.838916827
221	8.838614304
222	8.838355329
223	8.838084164
224	8.837808985
225	8.837593299
226	8.837323235
227	8.837027401
228	8.836807646
229	8.836432763
230	8.836093084
231	8.83574751
232	8.835455848
233	8.835192728
234	8.834990955
235	8.834667797
236	8.83435078
237	8.834140605
